ProgramNameEN,FiscalYear,AwardAmount
Industrial R&D Internships,2012,6880000
Industrial R&D Internships,2015,6880000
Industrial R&D Internships,2009,6880000
Industrial R&D Internships,2013,6880000
Industrial R&D Internships,2014,6880000
Cooperative Activities,2014,6877304
Industrially Oriented Research Grants,1996,6861861
Cooperative Activities,2015,6860711
Cooperative Activities,2013,6852985
Cooperative Activities,2012,6851767
Industrially Oriented Research Grants,1995,6842492
"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",1998,6753542
Cooperative Activities,2011,6737267
Business-led Networks of Centres of Excellence - Group,2014,6709482
Special Research Opportunity Program - Project,2008,6708778
Subatomic Physics Envelope - Major Facilities Access,1995,6695100
Industrial Postgraduate Scholarships,2004,6678792
Industrial R&D Fellowships (IRDF),2013,6671352
Cooperative Activities,2010,6667474
Climate Change and Atmospheric Research,2014,6636934
Major Resources Support Program - Infrastructure,2016,6600000
Business-led Networks of Centres of Excellence - Group,2016,6551000
Industrial R&D Fellowships (IRDF),2014,6546347
Discovery Grants Program - Accelerator Supplements,2008,6536200
Industrial Postgraduate Scholarships,2005,6391359
Idea to Innovation,2011,6385321
Industrial Undergraduate Student Research Awards Program,2015,6371622
Idea to Innovation,2015,6352709
Government of Canada's Program for International Polar Year,2009,6328208
Idea to Innovation,2009,6327664
Idea to Innovation,2013,6267559
Idea to Innovation,2014,6222493
Collaborative Health Research Projects,2009,6221676
Idea to Innovation,2006,6171537
Industrial R&D Fellowships (IRDF),2012,6166085
Collaborative Special Project Grants,1997,6113710
Cooperative Activities,1997,6036717
Industrial Postgraduate Scholarships,2006,5985781
Technology Access Centre,2015,5959122
Idea to Innovation,2004,5923216
Alexander Graham Bell Canada Graduate Scholarships - Master's,2004,5896134
Collaborative Project Grants (H),1997,5830493
Idea to Innovation,2012,5810309
Industrial Postgraduate Scholarships,2007,5788625
Idea to Innovation,2010,5724117
Industrial Undergraduate Student Research Awards Program,2014,5677312
Cooperative Activities,2004,5674157
PromoScience,2016,5627899
Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years                                   ,2014,5575000
Vanier Canada Graduate Scholarships - Doctoral                                                      ,2013,5575000
Vanier Canada Graduate Scholarships - Doctoral                                                      ,2010,5533336
Applied Research and Development Grants - Level 2,2015,5510441
Idea to Innovation,2007,5474337
Climate Change and Atmospheric Research,2016,5452458
University Faculty Award,2009,5437897
Collaborative Health Research Projects,2004,5427333
Business-led Networks of Centres of Excellence - Group,2013,5425412
Strategic Grants - Individual (H),1996,5393167
Major Facilities Access Grants,1999,5388614
Industrial Postgraduate Scholarships,2003,5387042
Research Networks,2000,5367288
Collaborative Research Opportunities Grants,2002,5347422
Women's Faculty Awards - Salary (H),1995,5265471
Climate Change and Atmospheric Research,2013,5251544
Collaborative Research Opportunities Grants,2001,5207561
Special Research Opportunity Program - Project,2005,5121516
"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",1999,5079882
Industrial R&D Fellowships (IRDF),2015,5046477
Canada Research Chairs,2000,5025000
Perimeter Institute,2006,5000000
Perimeter Institute,2005,5000000
Perimeter Institute,2002,5000000
Perimeter Institute,2003,5000000
Perimeter Institute,2004,5000000
Collaborative Health Research Projects,2000,4930213
Industrial Undergraduate Student Research Awards Program,2013,4883912
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2003,4881666
Industrial Postgraduate Scholarships,2008,4863984
Collaborative Health Research Projects,2008,4861774
Automotive Partnership Canada Project                                                               ,2010,4819227
